Member_number,Date,itemDescription
2353,07-02-2015,canned beer
4129,22-09-2015,whole milk
1602,04-08-2015,sausage
3326,30-04-2015,rolls/buns
2840,12-02-2015,beverages
3783,17-02-2015,canned beer
1330,10-07-2015,newspapers
3486,08-11-2015,canned beer
2777,07-04-2015,whole milk
1564,23-10-2015,sausage
3772,09-03-2015,whole milk
4004,19-04-2015,coffee
2394,21-06-2015,canned beer
4616,16-08-2015,canned beer
2362,08-07-2015,canned beer
2718,08-06-2015,sausage
1846,19-07-2015,rolls/buns
2170,18-06-2015,canned beer
4413,03-08-2015,bottled beer
2854,08-02-2015,coffee
4530,12-04-2015,margarine
2156,15-05-2015,newspapers
1444,16-12-2015,rolls/buns
4954,04-05-2015,whole milk
1604,18-08-2015,sausage
2319,10-05-2015,whole milk
3018,27-06-2015,rolls/buns
1195,28-09-2015,whole milk
2798,17-06-2015,chicken
3027,15-09-2015,sausage
4129,13-08-2015,chicken
2128,11-02-2015,whole milk
4762,30-10-2015,rolls/buns
1632,29-05-2015,house keeping products
2861,23-02-2015,whole milk
2364,11-05-2015,rolls/buns
1949,17-03-2015,whole milk
4814,13-09-2015,whole milk
1514,28-02-2015,rolls/buns
4584,25-10-2015,chicken
4155,24-09-2015,sausage
4670,11-10-2015,sausage
2371,30-08-2015,UHT-milk
3442,14-11-2015,rolls/buns
3090,27-09-2015,canned beer
2608,19-09-2015,rolls/buns
3363,07-01-2015,rolls/buns
1731,09-09-2015,bottled beer
4655,31-03-2015,whole milk
3896,10-09-2015,sausage
4348,26-02-2015,beverages
2716,18-01-2015,sausage
1659,30-11-2015,coffee
2122,07-04-2015,frozen dessert
1456,18-09-2015,rolls/buns
1138,02-09-2015,whole milk
1688,10-11-2015,finished products
1488,28-11-2015,onions
2825,29-12-2015,sausage
2592,04-07-2015,canned beer
2982,14-06-2015,canned beer
1981,31-10-2015,chicken
4440,21-09-2015,rolls/buns
4303,07-12-2015,chicken
3508,28-02-2015,frozen dessert
4851,25-05-2015,bottled beer
3601,01-04-2015,whole milk
3176,25-05-2015,bottled beer
3694,10-11-2015,chicken
3911,30-07-2015,sausage
3111,15-10-2015,newspapers
1385,26-11-2015,whole milk
4323,13-05-2015,whole milk
4224,24-02-2015,chicken
4212,07-04-2015,chicken
3987,18-06-2015,sausage
1672,07-10-2015,whole milk
1843,27-11-2015,bottled beer
2496,29-06-2015,chicken
3590,28-03-2015,chicken
2890,26-04-2015,fish
2867,23-12-2015,chicken
1170,19-03-2015,whole milk
3963,17-09-2015,whole milk
3076,08-12-2015,rolls/buns
4509,28-09-2015,sliced cheese
3001,24-12-2015,whole milk
2349,26-02-2015,sausage
4068,19-11-2015,newspapers
2340,07-10-2015,frozen fish
1617,10-02-2015,rolls/buns
1632,15-12-2015,onions
1429,07-02-2015,whole milk
1512,20-09-2015,chicken
4686,19-08-2015,sausage
4986,01-02-2015,whole milk
4532,29-11-2015,hygiene articles
3473,25-01-2015,whole milk
2140,28-09-2015,onions
3286,23-12-2015,finished products
4729,08-04-2015,salt
1016,05-10-2015,UHT-milk
4560,01-07-2015,bottled beer
1658,03-09-2015,sausage
1683,20-08-2015,whole milk
1929,02-05-2015,chicken
3423,02-06-2015,sausage
4103,26-07-2015,chicken
2622,07-03-2015,onions
1636,19-09-2015,rolls/buns
2432,07-07-2015,coffee
1293,01-03-2015,whole milk
2292,25-03-2015,margarine
1815,13-01-2015,sausage
1597,05-02-2015,UHT-milk
2315,02-05-2015,onions
2847,23-11-2015,canned beer
1081,25-04-2015,coffee
4932,08-07-2015,bottled beer
4189,11-09-2015,sausage
4071,19-09-2015,sausage
4363,01-07-2015,whole milk
3190,21-11-2015,whole milk
3311,01-07-2015,frozen fish
3693,16-11-2015,whole milk
4165,18-08-2015,sausage
1780,13-10-2015,canned fish
2899,06-09-2015,sausage
3929,30-07-2015,specialty cheese
4551,28-07-2015,chicken
1045,25-11-2015,chicken
4841,13-09-2015,chicken
3047,07-09-2015,sausage
3911,23-08-2015,UHT-milk
4464,21-10-2015,sausage
1125,19-11-2015,popcorn
3437,02-02-2015,sausage
4499,08-08-2015,UHT-milk
3715,11-05-2015,whole milk
3512,17-11-2015,cat food
3112,19-05-2015,rolls/buns
3236,09-04-2015,finished products
1231,14-10-2015,sausage
2421,22-11-2015,sausage
4092,14-06-2015,onions
3742,22-08-2015,sausage
4537,09-04-2015,sausage
3764,05-10-2015,sausage
2113,16-08-2015,UHT-milk
2805,17-08-2015,rolls/buns
2610,26-02-2015,rolls/buns
3458,13-08-2015,sausage
4869,06-02-2015,chicken
3811,24-06-2015,canned beer
4924,14-09-2015,rolls/buns
3508,15-08-2015,whole milk
3119,05-02-2015,sausage
1334,07-06-2015,chicken
1331,07-10-2015,condensed milk
2386,30-01-2015,chicken
3910,28-02-2015,sausage
4274,01-08-2015,bottled beer
3101,21-01-2015,chicken
4416,23-12-2015,finished products
2665,13-04-2015,frozen potato products
4022,31-07-2015,chicken
4537,12-10-2015,bottled beer
3609,12-12-2015,chicken
2688,11-04-2015,sausage
3764,24-07-2015,frozen potato products
3698,30-08-2015,sausage
1627,11-04-2015,rolls/buns
2513,12-02-2015,canned beer
3298,28-01-2015,canned beer
4214,20-03-2015,sausage
2625,03-10-2015,chicken
2356,31-01-2015,chicken
4119,09-05-2015,whole milk
3523,19-04-2015,rolls/buns
2555,05-12-2015,frozen fish
2419,07-04-2015,sausage
2364,08-09-2015,chicken
4008,04-05-2015,herbs
2501,09-09-2015,onions
1467,02-05-2015,sausage
2305,05-01-2015,canned beer
3294,03-07-2015,newspapers
3023,06-05-2015,onions
3938,18-05-2015,whole milk
2095,29-09-2015,beverages
3245,08-12-2015,whole milk
3300,25-07-2015,cat food
3090,14-02-2015,whole milk
1242,18-05-2015,sausage
4400,11-12-2015,beverages
1628,05-02-2015,chicken
2732,02-04-2015,sausage
1920,09-02-2015,whole milk
1538,08-03-2015,sausage
4471,28-02-2015,coffee
4217,01-12-2015,whole milk
2432,06-10-2015,whole milk
1603,23-07-2015,canned beer
4751,19-11-2015,chicken
2555,11-11-2015,bottled beer
2069,02-07-2015,chicken
4509,23-07-2015,sausage
4864,22-07-2015,canned beer
1955,13-02-2015,sausage
2243,31-01-2015,herbs
1864,27-09-2015,finished products
1110,20-11-2015,whole milk
2240,07-07-2015,sausage
3872,07-02-2015,whole milk
4533,21-05-2015,frozen fruits
3835,11-05-2015,whole milk
3601,03-02-2015,sausage
2307,29-06-2015,canned beer
1365,02-11-2015,bottled beer
1665,11-04-2015,whole milk
2447,25-06-2015,chicken
2536,07-11-2015,whole milk
3445,15-02-2015,sausage
2884,08-05-2015,UHT-milk
2974,26-12-2015,herbs
3831,07-03-2015,newspapers
1924,02-03-2015,brandy
1811,24-05-2015,beverages
1283,13-11-2015,UHT-milk
4543,23-10-2015,rolls/buns
4642,03-12-2015,rolls/buns
2360,18-02-2015,rolls/buns
4895,10-08-2015,canned beer
3390,01-12-2015,canned beer
1483,27-06-2015,rolls/buns
1035,08-09-2015,whole milk
4717,16-05-2015,canned beer
4662,17-11-2015,rolls/buns
4267,10-10-2015,fish
4866,21-08-2015,sausage
3465,30-07-2015,sausage
4934,31-10-2015,canned beer
3793,22-01-2015,canned beer
3662,20-07-2015,whole milk
3353,06-03-2015,onions
1233,31-07-2015,chicken
3178,03-01-2015,rolls/buns
4221,04-01-2015,sausage
4265,12-12-2015,rolls/buns
3474,25-02-2015,newspapers
1551,11-05-2015,onions
4609,07-11-2015,whole milk
4487,20-07-2015,onions
3364,29-06-2015,sausage
4294,03-12-2015,rolls/buns
3774,12-01-2015,bottled beer
3034,07-05-2015,condensed milk
1799,07-08-2015,canned beer
2837,22-04-2015,whole milk
1452,27-10-2015,chicken
3354,27-01-2015,sausage
1742,05-07-2015,napkins
4612,30-04-2015,sausage
1031,26-08-2015,beverages
3200,01-04-2015,whole milk
1138,24-02-2015,rolls/buns
1616,08-12-2015,whole milk
3597,07-07-2015,sausage
2151,29-09-2015,napkins
3475,14-12-2015,herbs
3077,31-08-2015,chicken
2971,27-01-2015,coffee
4323,11-10-2015,sauces
1283,06-03-2015,napkins
4275,11-09-2015,chicken
1291,06-03-2015,whole milk
2073,04-02-2015,sausage
1912,22-08-2015,bottled beer
2590,28-09-2015,whole milk
2782,09-06-2015,rolls/buns
1785,21-12-2015,sausage
2012,29-03-2015,rolls/buns
3337,01-02-2015,whole milk
4519,03-11-2015,napkins
3275,26-10-2015,whole milk
1763,13-09-2015,coffee
2955,05-06-2015,canned beer
2830,28-05-2015,canned beer
1476,22-03-2015,whole milk
4121,01-11-2015,whole milk
2998,14-07-2015,canned beer
1936,15-08-2015,rolls/buns
3369,29-12-2015,sausage
4841,02-05-2015,whole milk
3118,29-12-2015,whole milk
1773,01-11-2015,whole milk
2696,09-05-2015,sausage
4776,08-02-2015,sausage
3471,12-10-2015,sliced cheese
1941,16-09-2015,napkins
2066,23-03-2015,whole milk
1777,11-07-2015,sausage
2178,03-05-2015,sausage
4727,11-04-2015,rolls/buns
3035,08-11-2015,sausage
1464,07-03-2015,sausage
1706,07-03-2015,coffee
3726,26-05-2015,sausage
1742,12-12-2015,sausage
4929,27-07-2015,rolls/buns
2028,20-12-2015,coffee
4977,19-04-2015,whole milk
2399,12-02-2015,canned beer
2675,15-09-2015,canned beer
3739,06-08-2015,rolls/buns
2331,28-11-2015,canned beer
3758,13-01-2015,whole milk
3574,13-02-2015,canned beer
2563,29-12-2015,coffee
2128,09-07-2015,chicken
1693,05-09-2015,spread cheese
1612,05-03-2015,canned beer
1835,22-06-2015,rolls/buns
1283,15-03-2015,whole milk
4596,05-06-2015,sausage
4831,27-02-2015,rolls/buns
3604,15-04-2015,frozen fish
1484,27-08-2015,sausage
1764,29-09-2015,whole milk
2695,07-01-2015,whole milk
4538,28-11-2015,sausage
3334,17-03-2015,whole milk
2508,06-10-2015,canned beer
3361,21-06-2015,finished products
2855,08-11-2015,sausage
1788,09-10-2015,sausage
4137,26-12-2015,chicken
1153,08-12-2015,whole milk
3406,23-10-2015,whole milk
4632,09-03-2015,onions
3543,17-05-2015,canned beer
3488,21-12-2015,rolls/buns
3092,24-12-2015,sausage
1848,27-06-2015,sauces
1290,22-09-2015,sausage
4221,27-02-2015,whole milk
3248,14-01-2015,chicken
4207,08-07-2015,rolls/buns
3432,04-04-2015,rolls/buns
4902,16-04-2015,UHT-milk
4309,15-09-2015,whole milk
4805,04-05-2015,whole milk
3759,02-04-2015,whole milk
2764,23-01-2015,margarine
2455,04-01-2015,sausage
1776,15-02-2015,canned beer
2690,06-03-2015,chicken
3449,10-10-2015,whole milk
4633,17-08-2015,chicken
2500,05-01-2015,onions
4971,17-05-2015,sausage
2906,08-07-2015,chicken
2879,28-12-2015,whole milk
4187,31-07-2015,sausage
2446,08-09-2015,rolls/buns
1701,17-05-2015,canned beer
4433,25-03-2015,sausage
4776,25-10-2015,whole milk
4097,28-11-2015,hygiene articles
4593,18-08-2015,onions
3633,29-12-2015,herbs
4268,16-04-2015,white bread
3266,19-08-2015,canned beer
3109,29-06-2015,cat food
3774,17-12-2015,whole milk
3872,22-01-2015,sausage
2462,25-03-2015,bottled beer
3048,10-11-2015,sausage
3501,27-07-2015,rolls/buns
1474,24-06-2015,white bread
3061,17-08-2015,sausage
4702,03-08-2015,whole milk
2816,15-05-2015,whole milk
2101,04-09-2015,UHT-milk
4017,04-11-2015,bottled beer
1710,21-05-2015,chicken
1746,14-10-2015,whole milk
1162,06-08-2015,canned beer
1025,19-08-2015,canned beer
2675,10-09-2015,margarine
1354,01-12-2015,whole milk
4828,14-05-2015,whole milk
1000,24-07-2015,canned beer
1818,04-07-2015,sausage
1932,12-05-2015,sausage
3175,26-02-2015,sausage
1889,20-02-2015,onions
2652,26-12-2015,chicken
3046,18-11-2015,whole milk
1952,23-11-2015,finished products
4353,24-08-2015,fish
2514,02-11-2015,whole milk
4790,16-05-2015,bottled beer
1948,25-08-2015,whole milk
3581,16-01-2015,sausage
4678,31-03-2015,bottled beer
3642,24-02-2015,sausage
2957,19-09-2015,sausage
4585,28-09-2015,sausage
3637,10-07-2015,sausage
3658,26-09-2015,whole milk
3247,13-01-2015,UHT-milk
1011,09-12-2015,whole milk
2234,29-07-2015,canned beer
3744,08-12-2015,rolls/buns
2903,08-08-2015,sausage
3036,12-07-2015,frozen fish
1233,20-03-2015,rolls/buns
2230,28-05-2015,sausage
3690,24-04-2015,spread cheese
2792,29-07-2015,condensed milk
1929,10-07-2015,rolls/buns
3547,07-10-2015,rolls/buns
4207,28-08-2015,sausage
2107,01-03-2015,coffee
4676,15-01-2015,sausage
4939,29-06-2015,bottled beer
2393,17-04-2015,onions
1213,03-03-2015,chicken
1006,14-06-2015,whole milk
2779,17-10-2015,whole milk
3400,04-03-2015,rolls/buns
4301,01-05-2015,sausage
3672,28-05-2015,whole milk
4588,30-04-2015,bottled beer
2117,02-05-2015,pasta
2595,23-01-2015,rolls/buns
3046,31-03-2015,sausage
2368,11-11-2015,whole milk
4384,25-05-2015,chicken
1998,18-05-2015,canned beer
2636,11-09-2015,sausage
1092,27-07-2015,rolls/buns
3899,22-04-2015,rolls/buns
2625,08-04-2015,margarine
2582,06-03-2015,chicken
2031,26-02-2015,sausage
2972,21-05-2015,whole milk
1287,28-08-2015,whole milk
1482,06-07-2015,bottled beer
4831,13-11-2015,whole milk
4468,24-03-2015,sausage
1216,25-08-2015,whole milk
3761,26-09-2015,cat food
2799,12-08-2015,whole milk
3691,24-08-2015,sausage
2872,19-09-2015,onions
2003,23-11-2015,sausage
2166,12-03-2015,sauces
3347,24-04-2015,whole milk
1571,24-05-2015,sausage
3571,21-10-2015,chicken
2672,12-07-2015,beverages
1465,03-02-2015,sausage
3812,28-07-2015,whole milk
4524,10-12-2015,whole milk
4354,16-01-2015,beverages
2579,08-04-2015,whole milk
2804,18-01-2015,canned beer
3085,11-07-2015,whole milk
1944,31-08-2015,whole milk
3845,19-09-2015,hygiene articles
1158,25-08-2015,whole milk
4954,10-06-2015,beverages
1843,24-02-2015,sausage
3483,20-03-2015,sausage
2261,11-04-2015,whole milk
1517,01-08-2015,rolls/buns
2176,06-08-2015,whole milk
4255,02-09-2015,whole milk
1780,21-09-2015,sausage
1275,18-10-2015,white bread
2159,30-04-2015,rolls/buns
4848,14-10-2015,rolls/buns
1605,06-07-2015,sausage
2477,04-06-2015,UHT-milk
4272,22-03-2015,whole milk
3483,22-11-2015,pasta
3757,24-06-2015,whole milk
3484,10-10-2015,sausage
4314,02-05-2015,rolls/buns
1204,23-07-2015,sliced cheese
1355,28-03-2015,rolls/buns
3463,16-05-2015,sausage
2271,02-01-2015,rolls/buns
1531,19-01-2015,sausage
3451,31-08-2015,rolls/buns
2869,29-04-2015,whole milk
2151,03-08-2015,rolls/buns
3634,02-12-2015,snack products
4671,01-08-2015,sausage
1275,17-02-2015,sausage
3306,28-09-2015,spread cheese
1087,19-03-2015,sausage
3210,23-12-2015,herbs
4277,09-08-2015,sausage
4470,23-12-2015,onions
4783,10-10-2015,bottled beer
4510,03-09-2015,whole milk
4625,07-04-2015,sausage
1087,14-08-2015,herbs
3682,12-10-2015,whole milk
4992,23-05-2015,canned beer
4308,07-04-2015,chicken
1456,19-07-2015,whole milk
3044,05-01-2015,sausage
1188,09-01-2015,whole milk
1692,28-06-2015,whole milk
3577,12-05-2015,white bread
2394,17-02-2015,sausage
1009,05-10-2015,herbs
2494,10-06-2015,chicken
3322,02-02-2015,UHT-milk
2584,31-03-2015,rolls/buns
4564,13-06-2015,cat food
2781,10-04-2015,bottled beer
3548,01-06-2015,whole milk
2909,08-05-2015,sausage
4226,06-12-2015,sausage
1395,12-10-2015,sausage
2938,06-06-2015,whole milk
3674,13-08-2015,canned beer
4933,27-02-2015,whole milk
4670,31-08-2015,whole milk
4847,03-02-2015,canned beer
2586,10-07-2015,UHT-milk
4700,06-06-2015,whole milk
3981,25-12-2015,finished products
4224,06-12-2015,bottled beer
3745,26-08-2015,sausage
2851,16-09-2015,canned beer
4994,08-02-2015,sausage
1465,09-11-2015,canned beer
2380,07-01-2015,sausage
1150,25-05-2015,canned beer
4371,21-06-2015,finished products
1144,13-08-2015,canned beer
2136,10-02-2015,bottled beer
1731,20-11-2015,chicken
4376,22-07-2015,chicken
3760,04-06-2015,sausage
1252,11-03-2015,chicken
3159,31-01-2015,whole milk
3098,04-09-2015,sausage
2448,29-12-2015,rolls/buns
1335,13-09-2015,onions
3815,15-09-2015,coffee
3976,20-09-2015,chicken
3051,23-01-2015,whole milk
3710,15-07-2015,whole milk
1682,01-11-2015,canned beer
1866,13-07-2015,chicken
1764,15-11-2015,canned beer
1380,09-04-2015,rolls/buns
3063,28-10-2015,whole milk
4782,16-08-2015,rolls/buns
2315,15-09-2015,rolls/buns
1436,01-03-2015,beverages
4002,28-08-2015,canned beer
1611,04-04-2015,bottled beer
2561,19-08-2015,sausage
2343,30-05-2015,sausage
1021,07-11-2015,rolls/buns
1751,25-03-2015,sausage
4669,25-06-2015,whole milk
4793,04-11-2015,sausage
3018,18-01-2015,canned beer
3600,17-08-2015,canned beer
1239,24-01-2015,condensed milk
3961,05-03-2015,sausage
3858,27-03-2015,rolls/buns
4017,11-10-2015,sausage
1298,27-07-2015,bottled beer
1618,02-08-2015,chicken
1786,10-02-2015,canned beer
2524,05-12-2015,rolls/buns
3523,01-04-2015,whole milk
4503,22-03-2015,rolls/buns
2055,02-05-2015,sausage
4503,09-08-2015,whole milk
3756,02-12-2015,whole milk
3071,13-06-2015,sausage
3954,10-02-2015,canned beer
4431,16-11-2015,beverages
3977,16-04-2015,whole milk
4187,10-04-2015,whole milk
2446,29-07-2015,chicken
4864,05-07-2015,sausage
1142,13-06-2015,chicken
2273,26-10-2015,sausage
3741,23-01-2015,chicken
1430,12-11-2015,rolls/buns
4138,10-10-2015,whole milk
3481,04-10-2015,sausage
1886,02-12-2015,canned beer
2946,04-11-2015,chicken
2476,25-02-2015,canned beer
3004,10-02-2015,whole milk
2089,31-10-2015,canned beer
3900,07-07-2015,sausage
2470,14-05-2015,canned beer
3179,21-03-2015,sausage
2285,16-12-2015,canned beer
1945,24-04-2015,canned beer
4601,15-12-2015,cat food
4722,13-10-2015,sausage
1321,13-04-2015,bottled beer
4125,14-06-2015,whole milk
3571,17-06-2015,rolls/buns
3746,13-07-2015,sausage
3934,27-03-2015,whole milk
1329,29-03-2015,sausage
4689,07-09-2015,canned beer
4778,26-04-2015,sausage
1146,11-06-2015,whole milk
4073,02-11-2015,rolls/buns
2019,09-10-2015,sausage
4753,21-06-2015,whole milk
1279,10-09-2015,beverages
3229,07-08-2015,cat food
1715,03-05-2015,chicken
4293,24-08-2015,fish
2960,19-12-2015,whole milk
1624,04-02-2015,rolls/buns
4877,06-11-2015,whole milk
2851,01-01-2015,whole milk
1398,15-04-2015,sausage
1779,28-10-2015,whole milk
1823,27-11-2015,whole milk
3360,14-11-2015,whole milk
3229,25-03-2015,white bread
3273,15-03-2015,margarine
4266,31-07-2015,canned beer
1372,25-06-2015,frozen fish
1242,13-12-2015,beverages
1354,29-11-2015,canned beer
4869,03-04-2015,sausage
4222,20-08-2015,newspapers
1358,11-09-2015,whole milk
2600,29-04-2015,frozen potato products
4938,24-11-2015,sausage
2940,21-05-2015,canned beer
3048,10-12-2015,chicken
1844,24-07-2015,UHT-milk
1218,05-07-2015,whole milk
2794,29-09-2015,sausage
4228,26-03-2015,whole milk
2365,21-06-2015,sausage
2232,06-05-2015,bottled beer
4470,31-03-2015,canned beer
2502,07-02-2015,chicken
1825,06-10-2015,chicken
2346,05-08-2015,specialty cheese
4166,26-07-2015,bottled beer
2855,05-08-2015,canned beer
4063,14-07-2015,whole milk
3246,27-08-2015,canned beer
3385,22-06-2015,flower soil/fertilizer
3409,20-05-2015,sausage
3424,16-08-2015,canned beer
4282,23-06-2015,chicken
3074,13-04-2015,whole milk
3797,20-01-2015,sausage
1277,01-12-2015,sausage
3443,18-04-2015,chicken
2902,06-06-2015,whole milk
1494,25-06-2015,frozen fish
2144,05-01-2015,onions
2311,01-11-2015,sausage
4932,17-07-2015,UHT-milk
2843,14-12-2015,whole milk
4682,19-03-2015,coffee
4113,27-04-2015,UHT-milk
3402,29-03-2015,canned beer
4228,04-04-2015,white bread
2643,08-11-2015,hygiene articles
3406,13-09-2015,bottled beer
3490,09-07-2015,canned beer
1599,13-10-2015,sausage
2013,07-02-2015,UHT-milk
4345,28-01-2015,rolls/buns
3663,04-01-2015,meat spreads
4548,30-07-2015,sausage
2324,18-08-2015,chicken
3778,03-12-2015,whole milk
2553,20-07-2015,chicken
1088,09-11-2015,whole milk
2131,27-08-2015,sausage
2876,09-09-2015,sausage
2690,17-10-2015,canned beer
2165,27-04-2015,chicken
4809,04-02-2015,flower soil/fertilizer
2601,20-05-2015,bottled beer
4246,01-12-2015,sausage
2100,19-09-2015,dishes
1473,02-10-2015,napkins
3289,26-12-2015,chicken
1923,30-04-2015,canned beer
3612,13-06-2015,canned beer
4497,07-06-2015,whole milk
3478,02-04-2015,canned beer
1833,24-07-2015,frozen chicken
3292,31-07-2015,dishes
1256,02-08-2015,sausage
2523,04-07-2015,whole milk
1991,22-10-2015,chicken
3225,25-02-2015,sausage
3296,27-06-2015,pickled vegetables
4787,12-08-2015,sausage
3666,12-04-2015,canned beer
3297,08-02-2015,sausage
2818,22-11-2015,whole milk
2764,28-12-2015,UHT-milk
4924,26-08-2015,whole milk
3851,10-05-2015,whole milk
3204,08-05-2015,rolls/buns
4548,28-07-2015,herbs
1468,09-10-2015,canned beer
4982,01-08-2015,canned beer
3296,02-03-2015,whole milk
4052,21-04-2015,bottled beer
2663,28-05-2015,whole milk
4637,14-05-2015,whole milk
1363,14-10-2015,whole milk
2646,11-11-2015,rolls/buns
2344,14-02-2015,canned beer
2444,12-05-2015,chocolate marshmallow
4430,22-02-2015,bottled beer
1696,01-03-2015,newspapers
4748,24-03-2015,chicken
4336,27-04-2015,whole milk
3537,12-07-2015,sausage
1331,29-04-2015,sausage
3353,13-04-2015,sausage
4878,21-09-2015,coffee
3770,13-01-2015,sausage
3892,20-07-2015,frozen chicken
3743,06-05-2015,canned beer
2893,12-12-2015,candles
3666,16-02-2015,spread cheese
1098,07-05-2015,canned beer
4761,01-03-2015,beverages
3790,26-07-2015,sausage
4450,30-07-2015,UHT-milk
3209,28-12-2015,UHT-milk
4895,07-09-2015,sausage
3132,30-07-2015,chicken
4375,05-10-2015,sausage
1769,30-12-2015,rolls/buns
2542,24-11-2015,whole milk
4697,11-09-2015,onions
2164,19-03-2015,rolls/buns
4390,20-01-2015,whole milk
2261,29-06-2015,sausage
3983,20-07-2015,chicken
1737,23-01-2015,whole milk
1304,30-04-2015,rolls/buns
4127,12-11-2015,bottled beer
3681,14-10-2015,whole milk
3735,20-04-2015,rolls/buns
4890,22-04-2015,rolls/buns
3513,29-05-2015,onions
1493,23-02-2015,beverages
1330,18-05-2015,chicken
1777,10-07-2015,whole milk
2348,08-09-2015,newspapers
3175,23-11-2015,chicken
1527,14-05-2015,UHT-milk
4148,09-02-2015,sausage
3862,05-03-2015,condensed milk
1251,26-11-2015,canned beer
3676,24-10-2015,sausage
4124,22-05-2015,whole milk
2290,12-01-2015,whole milk
2143,25-07-2015,canned beer
3657,22-01-2015,sausage
4369,25-08-2015,beverages
2706,14-08-2015,sausage
1391,19-03-2015,sausage
3347,05-06-2015,sausage
4589,10-07-2015,white bread
3590,27-02-2015,sausage
