Member_number,Date,itemDescription
1512,20-09-2015,chicken
2140,28-09-2015,onions
4729,08-04-2015,salt
1574,18-04-2015,other vegetables
2212,22-09-2015,curd
1658,03-09-2015,sausage
1273,04-05-2015,artif. sweetener
1155,27-12-2015,frankfurter
1672,05-02-2015,pip fruit
3841,02-04-2015,frankfurter
2467,18-04-2015,light bulbs
2678,28-11-2015,cream cheese 
2622,07-03-2015,onions
2050,28-06-2015,whipped/sour cream
2146,20-06-2015,berries
1636,19-09-2015,rolls/buns
1293,01-03-2015,whole milk
2267,30-01-2015,beef
2292,25-03-2015,margarine
4095,29-09-2015,beef
1412,05-07-2015,root vegetables
2941,23-02-2015,dessert
2125,25-06-2015,whipped/sour cream
2899,06-09-2015,sausage
1045,25-11-2015,chicken
3269,07-10-2015,whipped/sour cream
4464,21-10-2015,sausage
2928,22-09-2015,frankfurter
4117,06-01-2015,brown bread
4890,14-09-2015,meat
1516,28-01-2015,brown bread
2561,26-02-2015,root vegetables
3236,09-04-2015,finished products
4863,30-12-2015,dessert
2264,12-01-2015,sparkling wine
2832,02-11-2015,other vegetables
3067,27-11-2015,misc. beverages
1231,14-10-2015,sausage
3471,28-03-2015,meat
4092,14-06-2015,onions
3742,22-08-2015,sausage
1301,03-11-2015,pot plants
3489,18-11-2015,berries
3458,13-08-2015,sausage
1782,16-08-2015,soda
2221,16-12-2015,other vegetables
1334,07-06-2015,chicken
2499,22-11-2015,root vegetables
2386,30-01-2015,chicken
4416,23-12-2015,finished products
3469,09-02-2015,other vegetables
4274,30-09-2015,frankfurter
4022,31-07-2015,chicken
3609,12-12-2015,chicken
3698,30-08-2015,sausage
1627,11-04-2015,rolls/buns
3960,20-06-2015,frankfurter
1557,04-08-2015,beef
2501,09-09-2015,onions
2305,05-01-2015,canned beer
3294,03-07-2015,newspapers
3023,06-05-2015,onions
1053,09-07-2015,hamburger meat
2095,29-09-2015,beverages
1190,11-06-2015,root vegetables
1920,09-02-2015,whole milk
3241,20-09-2015,root vegetables
2492,10-04-2015,frankfurter
1538,08-03-2015,sausage
4419,23-12-2015,other vegetables
4217,01-12-2015,whole milk
4727,21-11-2015,frankfurter
4509,23-07-2015,sausage
4864,22-07-2015,canned beer
3202,16-04-2015,yogurt
1212,31-07-2015,root vegetables
1324,26-03-2015,yogurt
1864,27-09-2015,finished products
4102,13-05-2015,oil
2240,07-07-2015,sausage
3872,07-02-2015,whole milk
3184,24-10-2015,root vegetables
3601,03-02-2015,sausage
2307,29-06-2015,canned beer
1767,18-04-2015,meat
4251,21-12-2015,soda
2447,25-06-2015,chicken
2536,07-11-2015,whole milk
3445,15-02-2015,sausage
3831,07-03-2015,newspapers
2154,15-03-2015,cream cheese 
4543,23-10-2015,rolls/buns
1356,08-09-2015,hard cheese
3390,01-12-2015,canned beer
2549,13-05-2015,other vegetables
1035,08-09-2015,whole milk
4662,17-11-2015,rolls/buns
3500,18-01-2015,meat
2492,18-06-2015,other vegetables
2193,03-09-2015,hamburger meat
1570,20-03-2015,other vegetables
3178,03-01-2015,rolls/buns
2765,04-09-2015,butter
1551,11-05-2015,onions
4609,07-11-2015,whole milk
1975,26-09-2015,yogurt
4719,22-08-2015,frankfurter
4294,03-12-2015,rolls/buns
2447,15-10-2015,frankfurter
4838,31-01-2015,frankfurter
4822,04-07-2015,pip fruit
1378,12-10-2015,frankfurter
2503,08-02-2015,beef
1031,26-08-2015,beverages
3200,01-04-2015,whole milk
1420,08-12-2015,curd
3077,31-08-2015,chicken
3653,12-09-2015,detergent
2073,04-02-2015,sausage
1785,21-12-2015,sausage
1000,27-05-2015,soda
2222,08-01-2015,yogurt
1476,22-03-2015,whole milk
1824,01-11-2015,yogurt
3471,14-01-2015,frankfurter
3369,29-12-2015,sausage
3118,29-12-2015,whole milk
2926,08-11-2015,soda
1773,01-11-2015,whole milk
1916,13-11-2015,curd
3471,12-10-2015,sliced cheese
4727,11-04-2015,rolls/buns
3726,26-05-2015,sausage
2563,06-01-2015,frozen meals
1742,12-12-2015,sausage
1092,09-10-2015,frankfurter
2028,20-12-2015,coffee
2047,08-05-2015,meat
4610,19-07-2015,pip fruit
2058,04-06-2015,soda
1450,16-11-2015,bags
2331,28-11-2015,canned beer
3758,13-01-2015,whole milk
2563,29-12-2015,coffee
1230,27-01-2015,soda
4102,08-04-2015,pip fruit
1150,04-12-2015,other vegetables
3039,28-11-2015,pip fruit
2695,07-01-2015,whole milk
4538,28-11-2015,sausage
2508,06-10-2015,canned beer
4136,11-08-2015,pip fruit
3282,22-06-2015,frankfurter
4223,03-10-2015,meat
3200,11-02-2015,hamburger meat
2549,14-06-2015,pip fruit
4632,09-03-2015,onions
4738,15-08-2015,other vegetables
3488,21-12-2015,rolls/buns
2466,27-07-2015,beef
4027,12-05-2015,soda
3248,14-01-2015,chicken
3443,23-10-2015,root vegetables
1864,30-06-2015,pip fruit
3882,19-10-2015,frankfurter
4309,15-09-2015,whole milk
3759,02-04-2015,whole milk
1582,06-08-2015,curd
1776,15-02-2015,canned beer
3449,10-10-2015,whole milk
4793,24-11-2015,root vegetables
1625,08-10-2015,other vegetables
4187,31-07-2015,sausage
3043,05-01-2015,beef
1701,17-05-2015,canned beer
1047,09-08-2015,sweet spreads
2262,04-11-2015,soups
4593,18-08-2015,onions
4323,17-12-2015,pot plants
1182,21-01-2015,beef
3774,17-12-2015,whole milk
3872,22-01-2015,sausage
1474,24-06-2015,white bread
3061,17-08-2015,sausage
1916,16-11-2015,pip fruit
2816,15-05-2015,whole milk
4896,24-10-2015,flour
1162,06-08-2015,canned beer
1000,24-07-2015,canned beer
3082,25-09-2015,brown bread
2960,31-08-2015,berries
1952,23-11-2015,finished products
1479,14-05-2015,berries
2514,02-11-2015,whole milk
3642,24-02-2015,sausage
3637,10-07-2015,sausage
1901,29-11-2015,yogurt
4759,20-02-2015,frankfurter
3547,07-10-2015,rolls/buns
4875,13-09-2015,flour
1757,15-06-2015,frankfurter
4251,03-10-2015,berries
2393,17-04-2015,onions
3500,21-04-2015,soda
4598,18-11-2015,cream cheese 
1265,07-03-2015,cream cheese 
1006,14-06-2015,whole milk
2622,17-07-2015,pip fruit
1780,12-07-2015,pip fruit
1884,11-12-2015,frankfurter
2636,11-09-2015,sausage
1092,27-07-2015,rolls/buns
4372,30-07-2015,meat
3170,17-01-2015,beef
3469,10-05-2015,hamburger meat
2031,26-02-2015,sausage
1567,13-03-2015,whipped/sour cream
4760,02-04-2015,salty snack
3164,30-09-2015,butter
1100,12-03-2015,soda
1032,15-06-2015,berries
4466,20-08-2015,yogurt
3414,23-10-2015,curd
2799,12-08-2015,whole milk
3481,22-03-2015,soda
2872,19-09-2015,onions
2693,02-11-2015,brown bread
2058,24-02-2015,yogurt
2003,23-11-2015,sausage
2563,03-08-2015,detergent
3571,21-10-2015,chicken
2867,25-06-2015,butter
2672,12-07-2015,beverages
4524,10-12-2015,whole milk
3518,26-10-2015,beef
3542,11-07-2015,other vegetables
3021,30-01-2015,frankfurter
2496,02-12-2015,pip fruit
1158,25-08-2015,whole milk
4954,10-06-2015,beverages
2060,26-07-2015,pip fruit
4742,05-04-2015,oil
2474,09-02-2015,frozen vegetables
1517,01-08-2015,rolls/buns
1780,21-09-2015,sausage
2159,30-04-2015,rolls/buns
2082,23-11-2015,brown bread
4272,22-03-2015,whole milk
3757,24-06-2015,whole milk
1204,23-07-2015,sliced cheese
4287,06-08-2015,soda
3061,05-12-2015,pip fruit
3451,31-08-2015,rolls/buns
2869,29-04-2015,whole milk
4814,12-02-2015,root vegetables
3647,03-03-2015,frozen meals
4258,11-12-2015,soda
4625,07-04-2015,sausage
4212,31-03-2015,yogurt
3682,12-10-2015,whole milk
4992,23-05-2015,canned beer
4238,08-03-2015,frankfurter
1609,03-05-2015,other vegetables
3044,05-01-2015,sausage
1714,02-08-2015,whipped/sour cream
2101,07-01-2015,root vegetables
2070,16-07-2015,frankfurter
2494,10-06-2015,chicken
3655,16-02-2015,beef
1827,02-05-2015,frankfurter
4927,19-10-2015,curd
3877,17-09-2015,pip fruit
4933,27-02-2015,whole milk
3082,22-05-2015,curd
4670,31-08-2015,whole milk
1185,24-08-2015,pip fruit
2010,19-12-2015,yogurt
2721,15-07-2015,yogurt
3745,26-08-2015,sausage
1474,29-07-2015,frankfurter
1218,13-06-2015,other vegetables
1150,25-05-2015,canned beer
3698,24-08-2015,frankfurter
3159,31-01-2015,whole milk
2703,27-03-2015,hamburger meat
1489,07-03-2015,frozen vegetables
1335,13-09-2015,onions
3976,20-09-2015,chicken
2630,15-02-2015,frankfurter
3710,15-07-2015,whole milk
4002,28-08-2015,canned beer
2561,19-08-2015,sausage
4378,04-05-2015,frankfurter
1184,16-06-2015,root vegetables
4793,04-11-2015,sausage
4600,12-02-2015,root vegetables
3017,22-09-2015,hamburger meat
1834,22-11-2015,meat
3018,18-01-2015,canned beer
3600,17-08-2015,canned beer
2653,02-03-2015,whipped/sour cream
3637,22-12-2015,root vegetables
4992,01-03-2015,frankfurter
2055,02-05-2015,sausage
3071,13-06-2015,sausage
4187,10-04-2015,whole milk
4864,05-07-2015,sausage
4158,26-12-2015,pip fruit
3741,23-01-2015,chicken
3481,04-10-2015,sausage
1886,02-12-2015,canned beer
4861,13-09-2015,other vegetables
2946,04-11-2015,chicken
2103,11-03-2015,frozen meals
1893,04-04-2015,hamburger meat
4834,27-04-2015,frankfurter
2476,25-02-2015,canned beer
1013,02-07-2015,frozen meals
3004,10-02-2015,whole milk
3077,19-01-2015,root vegetables
4280,02-05-2015,frozen meals
4437,13-06-2015,hamburger meat
4635,16-10-2015,butter
3571,17-06-2015,rolls/buns
3934,27-03-2015,whole milk
1092,16-05-2015,root vegetables
4753,21-06-2015,whole milk
4397,27-06-2015,whipped/sour cream
3653,21-10-2015,long life bakery product
4321,27-10-2015,salty snack
1460,24-06-2015,hamburger meat
2960,19-12-2015,whole milk
1584,10-07-2015,yogurt
4321,08-05-2015,curd
1293,05-03-2015,dessert
2742,10-10-2015,misc. beverages
4734,12-07-2015,roll products 
2010,06-11-2015,soda
3718,26-02-2015,frankfurter
4302,05-11-2015,other vegetables
1218,05-07-2015,whole milk
4482,30-11-2015,hamburger meat
1825,06-10-2015,chicken
4832,03-12-2015,frankfurter
4063,14-07-2015,whole milk
4843,02-03-2015,pip fruit
4579,29-10-2015,other vegetables
2392,23-03-2015,other vegetables
4218,03-10-2015,beef
3071,21-01-2015,salty snack
3409,20-05-2015,sausage
1562,11-05-2015,frankfurter
3797,20-01-2015,sausage
3443,18-04-2015,chicken
4667,19-07-2015,frankfurter
2144,05-01-2015,onions
3304,28-03-2015,soda
2843,14-12-2015,whole milk
4682,19-03-2015,coffee
3906,16-06-2015,pip fruit
3402,29-03-2015,canned beer
2613,24-05-2015,misc. beverages
3663,04-01-2015,meat spreads
2147,12-11-2015,brown bread
3778,03-12-2015,whole milk
1562,22-01-2015,frozen vegetables
2499,18-02-2015,beef
1361,06-07-2015,other vegetables
4610,22-01-2015,yogurt
4246,01-12-2015,sausage
1220,29-12-2015,frankfurter
4560,03-07-2015,frankfurter
1893,18-01-2015,beef
3478,02-04-2015,canned beer
2295,28-12-2015,frankfurter
1833,24-07-2015,frozen chicken
3292,31-07-2015,dishes
3486,29-01-2015,hamburger meat
1256,02-08-2015,sausage
2523,04-07-2015,whole milk
1432,04-08-2015,other vegetables
4862,15-05-2015,root vegetables
3296,27-06-2015,pickled vegetables
2600,16-12-2015,pet care
3358,19-03-2015,whipped/sour cream
1574,12-02-2015,frankfurter
4061,09-05-2015,instant coffee
3881,07-04-2015,meat
1468,09-10-2015,canned beer
4593,12-02-2015,frankfurter
3296,02-03-2015,whole milk
1114,10-07-2015,misc. beverages
3842,14-10-2015,other vegetables
2663,28-05-2015,whole milk
1861,19-05-2015,pip fruit
2319,10-05-2015,meat
2272,31-01-2015,misc. beverages
2586,26-10-2015,meat
4748,24-03-2015,chicken
1331,29-04-2015,sausage
1140,26-06-2015,pip fruit
4878,21-09-2015,coffee
2515,22-07-2015,frankfurter
1031,15-10-2015,other vegetables
1851,29-06-2015,berries
4078,25-04-2015,frankfurter
3202,14-11-2015,pip fruit
3790,26-07-2015,sausage
1439,13-08-2015,frankfurter
3686,01-04-2015,soda
2164,19-03-2015,rolls/buns
4288,25-09-2015,meat
3073,17-01-2015,berries
3983,20-07-2015,chicken
1454,13-01-2015,meat
3735,20-04-2015,rolls/buns
4890,22-04-2015,rolls/buns
2704,18-11-2015,frankfurter
3867,07-09-2015,brown bread
2348,08-09-2015,newspapers
4504,04-09-2015,root vegetables
2508,27-12-2015,soda
3402,11-04-2015,frozen meals
3178,08-12-2015,dessert
2134,26-09-2015,beef
3676,24-10-2015,sausage
2992,09-11-2015,pip fruit
2053,17-09-2015,cereals
3657,22-01-2015,sausage
4589,10-07-2015,white bread
4187,14-09-2015,pip fruit
2613,11-04-2015,soda
1472,19-09-2015,root vegetables
1079,09-09-2015,rolls/buns
1726,26-12-2015,other vegetables
1832,17-11-2015,sausage
1403,25-03-2015,salty snack
4856,18-01-2015,root vegetables
3369,22-02-2015,frankfurter
1449,26-01-2015,finished products
1512,23-02-2015,whole milk
1551,14-01-2015,soda
3763,29-04-2015,canned beer
3912,06-01-2015,berries
1058,06-04-2015,sausage
4933,02-01-2015,sausage
4113,13-08-2015,frankfurter
4439,01-01-2015,butter
4102,23-09-2015,frankfurter
1013,02-10-2015,white bread
4734,10-02-2015,sausage
2119,24-09-2015,other vegetables
1754,08-07-2015,canned beer
2816,01-10-2015,rolls/buns
4594,23-06-2015,meat
2672,17-01-2015,frozen meals
4482,07-08-2015,dishes
3380,11-11-2015,coffee
3637,25-11-2015,frankfurter
1827,07-05-2015,sausage
3323,09-12-2015,beef
2796,17-10-2015,other vegetables
2916,13-06-2015,house keeping products
3489,01-09-2015,misc. beverages
2386,03-01-2015,beverages
3434,10-06-2015,chicken
3071,26-03-2015,coffee
1869,16-05-2015,root vegetables
1163,14-12-2015,whole milk
2221,18-12-2015,soda
1403,16-05-2015,hamburger meat
4552,17-10-2015,whole milk
4246,13-06-2015,yogurt
4998,14-10-2015,rolls/buns
4273,01-06-2015,margarine
1950,14-06-2015,other vegetables
3044,09-05-2015,coffee
2521,14-12-2015,root vegetables
1381,06-03-2015,other vegetables
4050,06-07-2015,chicken
4852,28-04-2015,yogurt
2222,21-07-2015,berries
4243,22-08-2015,canned beer
1721,15-10-2015,other vegetables
3650,17-07-2015,other vegetables
1776,02-03-2015,whole milk
2095,06-04-2015,pip fruit
3718,12-07-2015,canned beer
2481,24-11-2015,rolls/buns
4852,29-06-2015,frankfurter
4259,24-06-2015,brown bread
4664,26-05-2015,rolls/buns
2327,18-03-2015,frankfurter
4105,03-12-2015,sausage
1884,05-08-2015,root vegetables
4915,18-09-2015,canned beer
3138,19-04-2015,other vegetables
4660,10-07-2015,frozen vegetables
3241,09-08-2015,chicken
3671,03-08-2015,dishes
3355,02-12-2015,chicken
4509,29-11-2015,berries
1008,03-10-2015,hamburger meat
4788,28-04-2015,beef
3578,16-05-2015,sausage
1832,17-04-2015,whipped/sour cream
4439,18-03-2015,whole milk
1698,26-06-2015,other vegetables
4258,22-04-2015,beef
3321,13-07-2015,sausage
2101,20-12-2015,sausage
1276,28-04-2015,sausage
4992,20-06-2015,whole milk
2786,25-03-2015,sausage
3055,18-08-2015,other vegetables
1733,18-03-2015,whole milk
4988,04-10-2015,canned beer
4486,21-07-2015,canned beer
4600,14-07-2015,beef
2494,05-05-2015,pip fruit
1994,11-03-2015,whole milk
1226,12-11-2015,beef
2422,12-08-2015,hamburger meat
2492,01-11-2015,yogurt
1220,09-02-2015,rolls/buns
3308,19-08-2015,chicken
1183,12-06-2015,sausage
2267,11-11-2015,semi-finished bread
4098,09-01-2015,soda
4117,11-08-2015,pot plants
1364,20-06-2015,root vegetables
3184,04-09-2015,whole milk
1032,23-08-2015,yogurt
3790,28-10-2015,chicken
3588,19-08-2015,whole milk
4598,18-03-2015,curd
4852,17-06-2015,whole milk
4667,07-05-2015,beef
1236,11-05-2015,whole milk
4114,05-04-2015,canned beer
4120,01-12-2015,chicken
3402,06-01-2015,curd
3488,19-08-2015,frankfurter
4286,06-06-2015,other vegetables
1403,15-05-2015,frankfurter
4139,26-11-2015,coffee
2799,17-06-2015,butter
1584,11-03-2015,frankfurter
4593,07-04-2015,other vegetables
2765,22-07-2015,beef
3980,09-04-2015,yogurt
4682,17-05-2015,sausage
2042,17-11-2015,yogurt
2225,12-03-2015,berries
2436,24-11-2015,misc. beverages
3711,08-07-2015,whole milk
2960,17-02-2015,finished products
1950,23-10-2015,sausage
2403,28-11-2015,whole milk
4976,11-07-2015,misc. beverages
3718,18-10-2015,berries
1482,21-02-2015,pip fruit
1341,16-09-2015,other vegetables
1248,25-08-2015,beef
1046,18-06-2015,whole milk
3741,21-11-2015,rolls/buns
1551,11-08-2015,frankfurter
2653,07-12-2015,whole milk
4667,23-02-2015,sausage
4793,24-02-2015,soda
1368,15-07-2015,beef
4589,08-12-2015,sausage
2055,08-11-2015,other vegetables
3552,02-09-2015,canned vegetables
4797,04-07-2015,sausage
1443,04-03-2015,frankfurter
3600,26-11-2015,hamburger meat
1853,03-02-2015,chicken
2476,04-12-2015,ketchup
1660,26-07-2015,beef
1047,04-01-2015,curd
1807,18-12-2015,frankfurter
2337,15-08-2015,hamburger meat
2600,12-05-2015,pip fruit
1173,22-10-2015,hard cheese
2494,13-06-2015,pot plants
1191,08-08-2015,hamburger meat
1324,27-12-2015,misc. beverages
2664,20-09-2015,chicken
2309,29-12-2015,whole milk
1073,08-06-2015,pip fruit
3287,02-02-2015,onions
4359,24-09-2015,dessert
1785,15-07-2015,butter
4843,13-05-2015,whole milk
1076,14-05-2015,frankfurter
1335,18-10-2015,whipped/sour cream
4988,29-10-2015,candles
4437,20-10-2015,beverages
2916,13-06-2015,salty snack
1609,17-12-2015,rolls/buns
2789,28-01-2015,whole milk
2102,10-05-2015,rolls/buns
3882,23-04-2015,finished products
2523,12-01-2015,yogurt
1443,09-10-2015,butter
3600,30-07-2015,pip fruit
2677,23-12-2015,sausage
4323,26-03-2015,frankfurter
1733,23-06-2015,pip fruit
1994,05-10-2015,canned beer
3486,23-12-2015,pip fruit
3082,20-02-2015,canned beer
1361,08-09-2015,whole milk
4579,09-01-2015,pip fruit
1177,14-10-2015,rolls/buns
3409,11-12-2015,frankfurter
2606,26-01-2015,chicken
3072,26-01-2015,whole milk
3872,03-11-2015,beef
1381,23-03-2015,beverages
4444,22-07-2015,sausage
2348,01-11-2015,whole milk
1627,11-02-2015,root vegetables
4117,10-12-2015,canned beer
1199,21-11-2015,rolls/buns
4467,22-11-2015,frozen vegetables
1454,22-10-2015,white bread
3586,02-05-2015,whole milk
3419,05-12-2015,red/blush wine
3380,16-05-2015,root vegetables
1412,16-11-2015,soda
2535,10-11-2015,frankfurter
4853,17-09-2015,yogurt
1026,28-05-2015,root vegetables
3832,17-07-2015,frankfurter
2402,06-09-2015,whole milk
2613,09-01-2015,soups
2471,13-08-2015,rolls/buns
2563,03-06-2015,rolls/buns
2386,04-10-2015,soda
4800,24-12-2015,frankfurter
1833,12-07-2015,soda
2708,17-02-2015,instant coffee
3774,16-09-2015,beef
1489,23-06-2015,rolls/buns
2721,10-08-2015,cream cheese 
1214,10-01-2015,meat
1911,02-06-2015,root vegetables
3881,02-04-2015,chicken
1780,27-08-2015,dessert
1000,15-03-2015,sausage
3518,18-05-2015,sausage
2001,28-01-2015,beef
2091,19-10-2015,pet care
3044,29-09-2015,frozen meals
3039,02-09-2015,dessert
4063,12-11-2015,sausage
4187,28-10-2015,rolls/buns
1584,26-01-2015,rolls/buns
2698,24-01-2015,beef
2222,28-12-2015,whole milk
2167,08-12-2015,whole milk
2946,24-05-2015,frankfurter
3529,05-03-2015,pip fruit
2392,15-12-2015,soda
3529,13-09-2015,canned beer
2669,24-09-2015,pip fruit
4843,25-02-2015,waffles
4169,19-03-2015,frankfurter
2799,25-05-2015,sausage
3609,11-07-2015,meat
4233,16-06-2015,whole milk
3072,08-06-2015,beef
1517,01-03-2015,frankfurter
2467,04-02-2015,hard cheese
1636,04-05-2015,other vegetables
2443,12-01-2015,frankfurter
1450,08-07-2015,hamburger meat
2932,22-01-2015,root vegetables
1733,18-03-2015,coffee
4864,27-03-2015,whole milk
4988,04-10-2015,beverages
4600,14-07-2015,salty snack
3588,05-05-2015,pip fruit
2494,05-05-2015,canned beer
4215,31-05-2015,canned beer
1008,21-07-2015,soda
2422,12-08-2015,sausage
3308,19-08-2015,nut snack
4742,15-11-2015,beverages
2403,14-02-2015,frankfurter
1353,21-01-2015,meat
1748,08-03-2015,pip fruit
2843,12-10-2015,pip fruit
1298,23-06-2015,chicken
1305,23-05-2015,sausage
3100,06-03-2015,beef
4444,06-10-2015,soda
4109,04-10-2015,canned beer
2602,08-02-2015,sausage
2653,17-04-2015,brown bread
1539,27-09-2015,pip fruit
2560,07-06-2015,whole milk
4467,23-04-2015,other vegetables
4811,02-11-2015,canned beer
1444,29-12-2015,meat
2073,30-04-2015,rolls/buns
2523,12-02-2015,soda
2267,26-02-2015,frankfurter
1545,17-10-2015,whole milk
1230,19-11-2015,frankfurter
2471,19-03-2015,meat
1276,28-08-2015,whole milk
1670,30-06-2015,chicken
4819,20-09-2015,sausage
3648,02-06-2015,meat
1851,11-07-2015,other vegetables
2305,28-09-2015,coffee
1905,18-10-2015,soda
2538,27-07-2015,other vegetables
3567,17-02-2015,pip fruit
3737,21-11-2015,liquor (appetizer)
4288,13-11-2015,canned beer
2547,24-11-2015,soda
3027,14-09-2015,whipped/sour cream
1827,01-07-2015,whole milk
4769,20-09-2015,sausage
1741,20-12-2015,sausage
3296,22-05-2015,hamburger meat
4001,30-03-2015,butter
1617,30-03-2015,oil
1570,15-03-2015,frankfurter
3348,05-12-2015,sausage
1076,12-06-2015,sausage
1803,12-05-2015,rolls/buns
2899,24-11-2015,chicken
1474,02-06-2015,margarine
4217,17-06-2015,salt
2300,28-04-2015,sausage
2307,26-05-2015,frankfurter
3236,26-01-2015,dessert
2370,04-02-2015,meat
1220,01-01-2015,canned beer
2566,31-01-2015,whole milk
2370,14-01-2015,root vegetables
2240,20-09-2015,pip fruit
1319,10-01-2015,misc. beverages
2601,22-10-2015,canned beer
4524,26-12-2015,sliced cheese
4552,13-08-2015,other vegetables
4559,12-05-2015,canned beer
4102,03-11-2015,beef
2452,11-08-2015,beef
2829,19-12-2015,beef
3960,21-10-2015,canned beer
3980,16-09-2015,rolls/buns
2663,21-10-2015,sausage
4662,27-06-2015,canned beer
