Member_number,Date,itemDescription
4600,12-02-2015,root vegetables
3017,22-09-2015,hamburger meat
3018,18-01-2015,canned beer
3600,17-08-2015,canned beer
3637,22-12-2015,root vegetables
4992,01-03-2015,frankfurter
2055,02-05-2015,sausage
3071,13-06-2015,sausage
4187,10-04-2015,whole milk
4864,05-07-2015,sausage
3481,04-10-2015,sausage
1886,02-12-2015,canned beer
2326,13-11-2015,pork
2103,11-03-2015,frozen meals
1893,04-04-2015,hamburger meat
4834,27-04-2015,frankfurter
2476,25-02-2015,canned beer
1013,02-07-2015,frozen meals
3004,10-02-2015,whole milk
3077,19-01-2015,root vegetables
3872,07-08-2015,pork
4280,02-05-2015,frozen meals
4437,13-06-2015,hamburger meat
4635,16-10-2015,butter
3934,27-03-2015,whole milk
1092,16-05-2015,root vegetables
4078,14-11-2015,pork
4753,21-06-2015,whole milk
1460,24-06-2015,hamburger meat
2960,19-12-2015,whole milk
1107,03-01-2015,liver loaf
3718,26-02-2015,frankfurter
1218,05-07-2015,whole milk
4482,30-11-2015,hamburger meat
4832,03-12-2015,frankfurter
4063,14-07-2015,whole milk
3409,20-05-2015,sausage
1562,11-05-2015,frankfurter
3797,20-01-2015,sausage
2272,05-09-2015,zwieback
4667,19-07-2015,frankfurter
2843,14-12-2015,whole milk
4682,19-03-2015,coffee
3402,29-03-2015,canned beer
3663,04-01-2015,meat spreads
2147,12-11-2015,brown bread
3778,03-12-2015,whole milk
4809,04-02-2015,flower soil/fertilizer
4246,01-12-2015,sausage
1220,29-12-2015,frankfurter
4560,03-07-2015,frankfurter
3478,02-04-2015,canned beer
2295,28-12-2015,frankfurter
3486,29-01-2015,hamburger meat
1256,02-08-2015,sausage
2523,04-07-2015,whole milk
4862,15-05-2015,root vegetables
1324,10-04-2015,specialty chocolate
1497,10-10-2015,butter milk
1930,18-04-2015,pork
1574,12-02-2015,frankfurter
4061,09-05-2015,instant coffee
1468,09-10-2015,canned beer
4593,12-02-2015,frankfurter
3296,02-03-2015,whole milk
2663,28-05-2015,whole milk
1332,03-04-2015,processed cheese
1331,29-04-2015,sausage
4878,21-09-2015,coffee
2515,22-07-2015,frankfurter
4078,25-04-2015,frankfurter
3790,26-07-2015,sausage
1439,13-08-2015,frankfurter
2704,18-11-2015,frankfurter
3867,07-09-2015,brown bread
4504,04-09-2015,root vegetables
3402,11-04-2015,frozen meals
3676,24-10-2015,sausage
3657,22-01-2015,sausage
4589,10-07-2015,white bread
1472,19-09-2015,root vegetables
2504,02-08-2015,pork
1832,17-11-2015,sausage
4856,18-01-2015,root vegetables
3369,22-02-2015,frankfurter
1449,26-01-2015,finished products
1512,23-02-2015,whole milk
3763,29-04-2015,canned beer
1058,06-04-2015,sausage
3064,02-01-2015,pork
4933,02-01-2015,sausage
4113,13-08-2015,frankfurter
4452,23-11-2015,pork
4439,01-01-2015,butter
4102,23-09-2015,frankfurter
1013,02-10-2015,white bread
4734,10-02-2015,sausage
1754,08-07-2015,canned beer
2672,17-01-2015,frozen meals
3380,11-11-2015,coffee
3657,29-09-2015,liver loaf
3637,25-11-2015,frankfurter
1827,07-05-2015,sausage
2916,13-06-2015,house keeping products
3071,26-03-2015,coffee
3872,28-03-2015,specialty chocolate
1869,16-05-2015,root vegetables
1163,14-12-2015,whole milk
4811,11-01-2015,butter milk
1403,16-05-2015,hamburger meat
4340,06-08-2015,pork
4552,17-10-2015,whole milk
1574,04-08-2015,specialty chocolate
3044,09-05-2015,coffee
2521,14-12-2015,root vegetables
4243,22-08-2015,canned beer
1776,02-03-2015,whole milk
3718,12-07-2015,canned beer
4852,29-06-2015,frankfurter
4259,24-06-2015,brown bread
2327,18-03-2015,frankfurter
4105,03-12-2015,sausage
1884,05-08-2015,root vegetables
4915,18-09-2015,canned beer
1008,03-10-2015,hamburger meat
4252,10-04-2015,turkey
3578,16-05-2015,sausage
3671,11-10-2015,pork
4439,18-03-2015,whole milk
3321,13-07-2015,sausage
2101,20-12-2015,sausage
1276,28-04-2015,sausage
4992,20-06-2015,whole milk
2786,25-03-2015,sausage
1733,18-03-2015,whole milk
4988,04-10-2015,canned beer
4486,21-07-2015,canned beer
1994,11-03-2015,whole milk
4215,31-05-2015,pork
2422,12-08-2015,hamburger meat
1183,12-06-2015,sausage
3983,09-09-2015,butter milk
1364,20-06-2015,root vegetables
3184,04-09-2015,whole milk
2191,10-11-2015,specialty cheese
3588,19-08-2015,whole milk
4852,17-06-2015,whole milk
1236,11-05-2015,whole milk
4114,05-04-2015,canned beer
4603,21-01-2015,pork
3488,19-08-2015,frankfurter
4748,23-03-2015,pork
1403,15-05-2015,frankfurter
1113,29-03-2015,pork
4139,26-11-2015,coffee
2799,17-06-2015,butter
1584,11-03-2015,frankfurter
1972,02-06-2015,pork
4682,17-05-2015,sausage
3711,08-07-2015,whole milk
2960,17-02-2015,finished products
4347,07-03-2015,pork
1950,23-10-2015,sausage
2048,16-12-2015,pork
2403,28-11-2015,whole milk
1046,18-06-2015,whole milk
3355,18-10-2015,pork
3877,11-01-2015,pork
1551,11-08-2015,frankfurter
2653,07-12-2015,whole milk
4667,23-02-2015,sausage
2015,12-05-2015,pork
4589,08-12-2015,sausage
4988,20-12-2015,pork
4797,04-07-2015,sausage
1443,04-03-2015,frankfurter
3600,26-11-2015,hamburger meat
2327,04-08-2015,pork
1807,18-12-2015,frankfurter
2337,15-08-2015,hamburger meat
1173,22-10-2015,hard cheese
1191,08-08-2015,hamburger meat
2309,29-12-2015,whole milk
3468,14-11-2015,liver loaf
1785,15-07-2015,butter
4843,13-05-2015,whole milk
1076,14-05-2015,frankfurter
2789,28-01-2015,whole milk
4640,31-01-2015,domestic eggs
3882,23-04-2015,finished products
1443,09-10-2015,butter
2677,23-12-2015,sausage
4323,26-03-2015,frankfurter
1994,05-10-2015,canned beer
2225,28-04-2015,pork
3082,20-02-2015,canned beer
1361,08-09-2015,whole milk
3409,11-12-2015,frankfurter
3072,26-01-2015,whole milk
4444,22-07-2015,sausage
2348,01-11-2015,whole milk
1627,11-02-2015,root vegetables
4117,10-12-2015,canned beer
1454,22-10-2015,white bread
3586,02-05-2015,whole milk
3380,16-05-2015,root vegetables
2535,10-11-2015,frankfurter
1026,28-05-2015,root vegetables
4223,15-06-2015,liver loaf
3832,17-07-2015,frankfurter
2402,06-09-2015,whole milk
2867,16-07-2015,turkey
4800,24-12-2015,frankfurter
2708,17-02-2015,instant coffee
1911,02-06-2015,root vegetables
1000,15-03-2015,sausage
3518,18-05-2015,sausage
3044,29-09-2015,frozen meals
4063,12-11-2015,sausage
2222,28-12-2015,whole milk
2167,08-12-2015,whole milk
2946,24-05-2015,frankfurter
1386,31-07-2015,pork
3529,13-09-2015,canned beer
4843,25-02-2015,waffles
4169,19-03-2015,frankfurter
2799,25-05-2015,sausage
4233,16-06-2015,whole milk
2472,17-01-2015,liver loaf
1517,01-03-2015,frankfurter
2467,04-02-2015,hard cheese
2443,12-01-2015,frankfurter
1450,08-07-2015,hamburger meat
2932,22-01-2015,root vegetables
1733,18-03-2015,coffee
4864,27-03-2015,whole milk
2494,05-05-2015,canned beer
4215,31-05-2015,canned beer
2422,12-08-2015,sausage
3481,03-08-2015,pork
1220,09-02-2015,specialty chocolate
2403,14-02-2015,frankfurter
1305,23-05-2015,sausage
4109,04-10-2015,canned beer
2602,08-02-2015,sausage
2653,17-04-2015,brown bread
2560,07-06-2015,whole milk
4811,02-11-2015,canned beer
2267,26-02-2015,frankfurter
1545,17-10-2015,whole milk
1230,19-11-2015,frankfurter
2560,19-06-2015,cocoa drinks
4262,11-09-2015,soft cheese
1276,28-08-2015,whole milk
4819,20-09-2015,sausage
2305,28-09-2015,coffee
3737,21-11-2015,liquor (appetizer)
4288,13-11-2015,canned beer
4804,19-11-2015,pork
1827,01-07-2015,whole milk
4769,20-09-2015,sausage
1741,20-12-2015,sausage
3296,22-05-2015,hamburger meat
4001,30-03-2015,butter
1570,15-03-2015,frankfurter
3348,05-12-2015,sausage
1076,12-06-2015,sausage
2300,28-04-2015,sausage
2307,26-05-2015,frankfurter
1220,01-01-2015,canned beer
2566,31-01-2015,whole milk
2370,14-01-2015,root vegetables
1231,27-10-2015,pork
2601,22-10-2015,canned beer
4524,26-12-2015,sliced cheese
4559,12-05-2015,canned beer
1611,26-02-2015,liver loaf
3960,21-10-2015,canned beer
2663,21-10-2015,sausage
4662,27-06-2015,canned beer
3737,05-05-2015,whole milk
2978,09-05-2015,sausage
1444,14-10-2015,hamburger meat
4569,27-07-2015,sausage
3304,30-11-2015,root vegetables
3737,06-12-2015,frankfurter
1332,02-12-2015,root vegetables
1183,29-06-2015,root vegetables
3077,29-05-2015,canned beer
3472,30-04-2015,frankfurter
1328,24-03-2015,sausage
3398,18-01-2015,brown bread
2352,05-05-2015,sausage
4258,18-07-2015,frankfurter
4120,17-01-2015,sausage
3967,21-01-2015,butter
3459,05-08-2015,canned beer
2978,27-06-2015,whole milk
3686,06-01-2015,whole milk
3410,16-01-2015,whole milk
4105,05-02-2015,pork
2300,05-08-2015,frankfurter
1926,16-10-2015,turkey
4098,06-02-2015,pork
3290,29-05-2015,sausage
1782,01-08-2015,coffee
1230,06-04-2015,whole milk
4408,20-04-2015,pork
4528,13-10-2015,whole milk
2386,05-12-2015,canned beer
1276,23-11-2015,condensed milk
4034,29-08-2015,frankfurter
4223,20-07-2015,root vegetables
2068,07-04-2015,sausage
3528,19-05-2015,sausage
4566,10-03-2015,canned beer
2693,17-08-2015,frankfurter
1440,06-12-2015,sausage
1420,19-06-2015,canned beer
3216,12-02-2015,whole milk
2307,12-03-2015,whole milk
1812,14-10-2015,hamburger meat
3449,29-11-2015,pork
1444,06-06-2015,butter
3904,11-05-2015,sausage
3546,22-11-2015,whole milk
3797,23-08-2015,root vegetables
1182,29-11-2015,hamburger meat
4724,12-02-2015,sausage
1341,30-10-2015,frankfurter
1820,07-04-2015,pork
2267,07-01-2015,whole milk
4809,13-04-2015,zwieback
3663,28-06-2015,whole milk
2769,31-07-2015,flower soil/fertilizer
2672,26-11-2015,frankfurter
1938,08-05-2015,pork
1739,31-05-2015,sausage
3766,08-11-2015,pork
3653,09-11-2015,frankfurter
2467,05-07-2015,whole milk
3402,16-08-2015,whole milk
2492,10-11-2015,root vegetables
3609,23-02-2015,sausage
2549,24-08-2015,sausage
1276,26-03-2015,hard cheese
4822,26-02-2015,brown bread
3058,27-07-2015,sausage
2436,17-02-2015,butter
3380,23-04-2015,pork
2765,30-11-2015,candy
1125,27-08-2015,sausage
2710,14-10-2015,frankfurter
4321,12-09-2015,sausage
1248,15-12-2015,frankfurter
2370,12-09-2015,whole milk
3571,07-07-2015,coffee
1046,24-06-2015,pork
1449,27-05-2015,whole milk
1697,29-05-2015,root vegetables
3438,04-01-2015,sausage
1195,04-11-2015,finished products
4034,13-11-2015,whole milk
3737,12-12-2015,sausage
3067,22-09-2015,candy
1582,08-07-2015,sausage
2476,30-07-2015,butter milk
2535,17-10-2015,canned beer
3813,18-01-2015,whole milk
1265,13-04-2015,pork
3544,10-03-2015,whole milk
3082,10-04-2015,root vegetables
2073,18-06-2015,frankfurter
1361,12-07-2015,sausage
3491,26-10-2015,sausage
4002,30-04-2015,sausage
4861,28-03-2015,brown bread
3209,25-01-2015,canned beer
4500,08-06-2015,whole milk
2547,06-04-2015,frankfurter
4706,07-08-2015,frozen meals
2996,08-01-2015,domestic eggs
4089,04-10-2015,sausage
1479,15-05-2015,sausage
4809,28-09-2015,whole milk
1697,17-11-2015,dish cleaner
1490,04-10-2015,whole milk
2140,30-12-2015,sausage
3544,04-04-2015,canned beer
1035,23-05-2015,sausage
4067,16-10-2015,domestic eggs
1903,10-03-2015,canned beer
3542,16-06-2015,whole milk
1666,15-04-2015,sausage
4044,01-12-2015,frankfurter
1083,06-02-2015,pork
3280,13-07-2015,whole milk
1614,21-10-2015,specialty cheese
4251,17-01-2015,pork
2083,19-06-2015,sausage
2527,20-01-2015,canned beer
3843,04-09-2015,sausage
1539,07-04-2015,frankfurter
2466,28-08-2015,sausage
3566,14-12-2015,sausage
4853,04-10-2015,frankfurter
4385,17-11-2015,frankfurter
4158,11-11-2015,root vegetables
1238,01-03-2015,frankfurter
1265,19-01-2015,hamburger meat
4114,07-08-2015,frankfurter
1097,25-09-2015,frankfurter
2667,16-06-2015,frankfurter
1829,19-06-2015,pork
1376,30-06-2015,sausage
1301,07-01-2015,sausage
4262,25-04-2015,whole milk
4552,19-06-2015,pork
3215,24-04-2015,frankfurter
4618,16-12-2015,frankfurter
4120,11-12-2015,whole milk
1674,02-04-2015,zwieback
3741,14-06-2015,root vegetables
2070,28-06-2015,sausage
2669,29-03-2015,frankfurter
1497,18-04-2015,sausage
4223,07-10-2015,sliced cheese
1421,23-02-2015,frankfurter
1073,03-12-2015,finished products
1785,03-02-2015,turkey
3118,27-03-2015,liver loaf
3215,31-01-2015,sausage
4092,29-03-2015,whole milk
1125,12-05-2015,condensed milk
3500,31-01-2015,brown bread
4804,14-07-2015,whole milk
2849,24-11-2015,pork
3797,16-09-2015,whole milk
2636,19-05-2015,hamburger meat
2792,24-10-2015,canned beer
4167,06-09-2015,frankfurter
4706,23-11-2015,sausage
4976,17-07-2015,frankfurter
4286,08-03-2015,whole milk
1905,21-02-2015,sausage
3841,19-07-2015,pork
3023,28-07-2015,root vegetables
3552,16-06-2015,canned beer
4177,13-04-2015,whole milk
2436,12-04-2015,zwieback
4875,12-05-2015,frankfurter
1587,01-07-2015,whole milk
4851,20-12-2015,coffee
2560,17-05-2015,frankfurter
3645,12-12-2015,frankfurter
2932,20-03-2015,whole milk
1711,18-06-2015,whole milk
4291,08-12-2015,root vegetables
1306,23-06-2015,pork
4092,30-09-2015,sausage
2295,25-02-2015,nuts/prunes
3987,19-08-2015,whole milk
4166,06-11-2015,canned beer
3653,21-10-2015,whole milk
1567,11-04-2015,frankfurter
4321,08-05-2015,frankfurter
2678,20-03-2015,finished products
4734,12-07-2015,whole milk
2010,06-11-2015,whole milk
2600,29-04-2015,female sanitary products
3718,26-02-2015,specialty chocolate
4302,05-11-2015,frankfurter
1218,05-07-2015,sausage
4482,30-11-2015,whole milk
2205,07-03-2015,whole milk
2392,23-03-2015,sausage
4218,03-10-2015,frankfurter
4437,28-07-2015,soft cheese
4610,19-04-2015,hamburger meat
1952,23-11-2015,pork
3528,18-08-2015,whole milk
4790,16-05-2015,root vegetables
2601,26-03-2015,root vegetables
2792,29-07-2015,frankfurter
1757,15-06-2015,finished products
2560,26-11-2015,pork
4598,18-11-2015,whole milk
1006,14-06-2015,frankfurter
2636,11-09-2015,finished products
4372,30-07-2015,pork
2031,26-02-2015,frankfurter
1482,06-07-2015,whole milk
4466,20-08-2015,whole milk
1611,26-02-2015,frozen meals
4102,03-11-2015,hamburger meat
2829,19-12-2015,frankfurter
3960,21-10-2015,pork
3980,16-09-2015,root vegetables
2164,24-11-2015,brown bread
1396,22-07-2015,pork
3872,23-11-2015,turkey
1444,14-10-2015,whole milk
4753,08-11-2015,finished products
4821,28-11-2015,whole milk
4284,14-10-2015,sausage
4449,30-03-2015,frankfurter
3077,29-05-2015,turkey
3642,24-02-2015,domestic eggs
3637,10-07-2015,whole milk
1305,24-05-2015,pork
3741,06-08-2015,whole milk
3547,07-10-2015,butter
1757,15-06-2015,canned beer
3500,21-04-2015,canned beer
4598,18-11-2015,root vegetables
2622,17-07-2015,hard cheese
2636,11-09-2015,whole milk
3170,17-01-2015,root vegetables
4760,02-04-2015,butter
3164,30-09-2015,brown bread
1032,15-06-2015,butter
2081,22-01-2015,frankfurter
3414,23-10-2015,brown bread
2799,12-08-2015,hamburger meat
2695,04-07-2015,pork
1324,27-12-2015,frankfurter
2664,20-09-2015,sausage
2309,29-12-2015,frozen meals
3287,02-02-2015,pork
3468,14-11-2015,canned beer
1299,03-06-2015,whole milk
1785,15-07-2015,canned beer
4843,13-05-2015,pork
1155,01-04-2015,sausage
4640,31-01-2015,waffles
2083,28-03-2015,whole milk
1482,24-07-2015,sausage
3882,23-04-2015,whole milk
2677,23-12-2015,whole milk
1097,01-11-2015,whole milk
3766,07-05-2015,frankfurter
2521,03-03-2015,whole milk
3486,23-12-2015,root vegetables
1114,12-03-2015,sausage
4579,09-01-2015,frankfurter
1177,14-10-2015,canned beer
2499,24-04-2015,butter
1199,21-11-2015,whole milk
3586,02-05-2015,hamburger meat
1412,16-11-2015,frankfurter
2535,10-11-2015,whole milk
4223,15-06-2015,white bread
2867,16-07-2015,soft cheese
2386,04-10-2015,pork
2721,10-08-2015,frankfurter
3881,02-04-2015,frankfurter
1000,15-03-2015,whole milk
3472,28-02-2015,hamburger meat
4217,05-02-2015,sausage
2001,28-01-2015,processed cheese
2091,19-10-2015,brown bread
3039,02-09-2015,domestic eggs
2222,28-12-2015,sausage
2792,29-07-2015,whole milk
3547,07-10-2015,processed cheese
1757,15-06-2015,hamburger meat
4598,18-11-2015,frankfurter
2622,17-07-2015,sausage
1092,27-07-2015,sausage
3469,10-05-2015,frozen meals
4734,10-02-2015,pork
3710,22-08-2015,sausage
2816,19-06-2015,canned beer
4594,23-06-2015,pork
2672,17-01-2015,sausage
3380,11-11-2015,turkey
4486,23-10-2015,pork
3323,09-12-2015,sausage
2796,17-10-2015,pork
1838,25-03-2015,pork
3434,10-06-2015,butter
1140,01-05-2015,frankfurter
4215,30-06-2015,processed cheese
1869,16-05-2015,sausage
2638,10-10-2014,turkey
3745,09-12-2014,frankfurter
4594,28-05-2014,whole milk
3127,25-02-2014,hamburger meat
2899,08-01-2014,frankfurter
2832,29-07-2014,sausage
1033,21-04-2014,sausage
4579,19-01-2014,whole milk
3649,07-11-2014,frankfurter
4372,11-09-2014,whole milk
4262,03-06-2014,frozen meals
3071,18-04-2014,whole milk
3857,07-11-2014,frankfurter
3552,27-01-2014,candy
1726,05-04-2014,root vegetables
1013,20-02-2014,whole milk
3790,31-07-2014,frankfurter
2515,27-01-2014,hamburger meat
1773,28-10-2014,sausage
1468,02-10-2014,whole milk
3279,07-03-2014,frankfurter
1767,02-06-2014,frankfurter
4002,24-08-2014,pork
2146,30-05-2014,sausage
4861,23-03-2014,hamburger meat
4527,16-03-2014,frankfurter
3670,04-08-2014,butter milk
1697,22-01-2014,sausage
2181,29-04-2014,frankfurter
4274,31-03-2014,whole milk
1033,02-03-2014,frankfurter
3282,28-08-2014,sausage
2602,03-01-2014,frankfurter
4397,28-08-2014,root vegetables
2028,26-10-2014,canned beer
3960,23-01-2014,baking powder
1185,27-09-2014,frankfurter
1742,20-10-2014,frankfurter
2452,18-02-2014,frankfurter
4955,22-03-2014,sausage
4406,20-01-2014,pork
3722,20-02-2014,sausage
3008,09-07-2014,butter
3872,28-07-2014,root vegetables
1824,08-08-2014,sausage
4389,31-10-2014,frankfurter
2112,06-06-2014,whole milk
3435,10-04-2014,coffee
1755,04-06-2014,waffles
1741,12-07-2014,liver loaf
3564,23-02-2014,brown bread
1672,26-01-2014,sausage
3248,07-04-2014,hamburger meat
2859,27-02-2014,brown bread
3799,10-11-2014,pork
4262,21-06-2014,canned beer
4401,18-03-2014,sausage
4504,24-09-2014,sausage
1381,05-02-2014,coffee
3269,09-07-2014,sausage
1522,27-03-2014,sausage
2219,30-05-2014,root vegetables
1625,08-09-2014,zwieback
3100,19-12-2014,canned beer
1879,15-08-2014,whole milk
3838,05-08-2014,whole milk
3127,21-10-2014,pork
3248,06-02-2014,pork
3642,08-11-2014,pork
3600,03-09-2014,frankfurter
2272,07-06-2014,frankfurter
